Accession,Frist_Gene,Description,Peptides.used.for.quantitation,Confidence.score,UP,LB,LB,LB,glucose,glucose,glucose,glycerol + AA,glycerol + AA,glycerol + AA,acetate,acetate,acetate,fumarate,fumarate,fumarate,glucosamine,glucosamine,glucosamine,glycerol,glycerol,glycerol,pyruvate,pyruvate,pyruvate,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.5,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.35,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.20,chemostat µ=0.12,chemostat µ=0.12,chemostat µ=0.12,stationary 1 day,stationary 1 day,stationary 1 day,stationary 3 days,stationary 3 days,stationary 3 days,glucose,glucose,glucose,50 mM NaCl,50 mM NaCl,50 mM NaCl,42°C,42°C,42°C,pH 6,pH 6,pH 6,xylose,xylose,xylose,mannose,mannose,mannose,galactose,galactose,galactose,succinate,succinate,succinate,fructose,fructose,fructose
sp|P0A7T3|RS16_ECOLI,rpsP,30S ribosomal protein S16 OS=Escherichia coli (strain K12) GN=rpsP PE=1 SV=1,5,408.11,P0A7T3,109203.760225184,170812.987989666,136596.009486631,65081.7011821381,64219.4619385205,74005.1124054827,98584.9752904716,97314.0824821446,105796.433823717,27682.0020238075,24435.8387885433,28809.6974224027,39520.6769075476,41375.8876933879,40731.071192008,53818.9491695556,46514.1633031335,58766.6399984543,46663.3445135358,53578.4945580272,51815.2655999159,40331.4486587625,34970.8523306373,32313.0403305813,38643.2682424008,38457.6697830828,35232.3642161029,24433.7215086544,27076.9953302023,24935.3477633901,24806.5171509072,18664.776287007,20467.185139802,16483.9781219938,17366.3515242159,16640.9468699007,40016.4809458748,36309.5441736191,39056.7728940716,28165.4648333026,33048.6563062404,28011.3142088099,79602.2919151011,68643.2719266592,71346.0286922103,71837.6994765465,76708.0199629285,65091.3096897292,76466.0064691039,70697.1439451288,71626.3141852449,62864.1251987448,69710.7666606943,74265.9426048819,69810.7276431885,66839.1879090234,69775.4654622257,49472.6383529941,49096.9981964413,52163.375142184,36276.1078017312,36144.041610761,33191.2238217603,55514.446958767,48697.4591245973,51980.2136419044,75966.3788611202,72099.6598058557,65280.1086579539
sp|P0ADY7|RL16_ECOLI,rplP,50S ribosomal protein L16 OS=Escherichia coli (strain K12) GN=rplP PE=1 SV=1,5,373.6,P0ADY7,98439.2431726683,90698.9254875025,118741.855434376,33095.0300010366,38351.6450944036,33115.1704508249,55900.6588816623,53141.482629379,68936.6961932901,13024.1543812246,16059.2180533414,16590.6998130823,19248.9649778349,22880.1545177938,24101.6272448044,28252.1380523467,31498.6790096257,28384.4121429446,25349.2717586829,30151.6981471725,31010.0107959378,16459.1358160314,27614.704804128,21429.1500464472,35189.9087125355,36860.7758097871,29789.0699202811,20663.1717705999,19564.2256310437,20240.6303199779,15175.9972358647,17245.0429455832,18406.9088176358,15082.9053914459,15616.7122076064,16330.1644709055,11505.8946404454,12441.2633180299,8737.56210831819,14809.792438686,13068.4830031897,12818.9150130866,35289.5371397156,34811.5373237815,31541.9657499643,13932.5386668137,23593.6644269159,21528.7089928716,31693.5509176371,30382.9763031969,39236.5001798117,26381.93847544,32431.861286524,29183.2235527565,37261.6480452732,31362.8732957785,35077.7453084013,25872.2881785887,27403.2314294948,20668.270151294,17506.893115602,13661.3859994093,18431.6342431469,25159.7002601948,26479.7104262867,30898.1363362669,36887.706482398,46343.2485490474,44618.6130953485
sp|P60624|RL24_ECOLI,rplX,50S ribosomal protein L24 OS=Escherichia coli (strain K12) GN=rplX PE=1 SV=2,10,700.8,P60624,96905.6555343748,126580.117120307,124761.060708297,49023.5410678804,49826.1740196319,52289.7360958118,86508.7568090545,85602.831528745,78112.1727021306,17440.397423772,18420.7122569928,20421.194120656,31921.7300030303,30831.878448264,30636.6810072706,31438.3727475013,34219.2390541746,34179.1174984027,35836.3351255697,37072.1827361953,35995.1316289807,28361.9844124794,25534.8285693061,28430.5191103483,30183.7598246357,30075.22851858,30050.0877837092,19851.7643311727,18737.388932563,19183.3791825251,15097.8183858763,13785.3940849719,15477.0277717845,12182.8049161231,11498.7333613866,11736.2648478844,12414.9416000357,11129.6251270501,12340.2987894294,17270.723209482,18306.2590932305,16346.8974821102,60571.4161748013,52630.3383648289,55416.5682043321,47927.0771511001,43522.7858942389,42708.1808225538,46391.8904400337,56963.74289345,48140.7690494969,45589.6584685432,44237.1500737612,46975.6196152955,41764.9130495182,43091.0415722636,47184.510863722,33321.5446564971,32021.9589973216,31804.5632044878,21425.1721122744,21416.9162400445,20466.1780790247,35516.4394415312,32765.6609062337,34169.6469771012,48201.7341947102,46470.6667307741,49176.9232390706
sp|P0ACF4|DBHB_ECOLI,hupB,DNA-binding protein HU-beta OS=Escherichia coli (strain K12) GN=hupB PE=1 SV=1,4,301.23,P0ACF4,96373.1582026224,67073.2549886427,80032.053158087,42334.3808702306,40431.593252433,41918.3719437196,69909.2768821648,102316.473717906,76977.9270614207,36674.6104447287,29079.0755267324,24797.8134342319,42363.3456151919,42130.3395596742,27885.707986532,47813.3488712306,55431.2702161977,35040.611373691,44361.0083855145,34710.6304572898,38258.7077780689,43703.2517581932,41530.1872913752,33112.0609805295,38958.8553132071,39205.4825177749,46211.3609426397,52257.2189474427,49777.6563580477,38044.3492944583,45294.8159307377,43028.6777038378,41725.1195553527,36211.7399726106,32239.0438372982,34675.1385032532,18758.9415626734,17006.4195685059,20045.9413651083,12560.3659533502,17278.2156610887,16584.1207616429,22105.3610190008,43716.4716506409,28022.9574613144,43005.7587494734,25207.538746903,35054.1699680991,21094.8992210459,18830.1902726586,18152.7665942371,31681.3555766288,17790.1213304843,20880.125228529,36238.080118933,28994.5064789219,34507.8542238867,42736.6907040012,38833.34569279,56038.3395725045,25362.0441001166,20100.5729245695,33670.0905341193,32349.4081125668,36389.7998598585,31774.1000488749,27080.4634122034,26074.406421933,25641.5075176503
sp|P0A9Y6|CSPC_ECOLI,cspC,Cold shock-like protein CspC OS=Escherichia coli (strain K12) GN=cspC PE=1 SV=2,4,345.96,P0A9Y6,96231.879720804,117057.248492695,118500.350541459,58670.7106165161,58803.0618338281,60555.2407024999,108501.281167324,101735.769619868,92982.2419122776,38450.2276668474,39126.0223135999,44292.4797165695,50451.8862604996,62172.3248806266,55765.0316669467,58460.9284285013,61230.9797927081,71892.8343516147,52152.4356930822,53740.4971677175,54756.2716024181,47491.2269482808,38409.8754821187,38415.3798499639,50929.6074320583,50314.6713649982,56240.4777644139,39356.0116493641,41280.7395207423,42695.2922467064,34796.0456098698,31070.3909932624,33411.838851527,26165.0572360169,25873.7952840663,28801.3855903191,25338.5851733265,25768.1458614554,21542.74897491,22162.0947661284,23036.7067147025,19638.3382624407,79043.3819003539,64878.1445184851,62913.6157354424,67409.7469439244,67070.3238841199,69223.6081756784,41823.3653262545,47489.601756096,42695.1012941204,74092.2895409664,75824.8740033832,81319.0648907412,54063.9238832231,61477.465281456,60588.7118272624,56662.6806939991,55898.4007412642,51605.5539489474,33464.1640896662,40465.851336757,32128.2541774701,53885.6632122997,45113.388790835,53859.0904113949,62100.08455845,63562.0656021382,63285.83082877
sp|P0AE08|AHPC_ECOLI,ahpC,Alkyl hydroperoxide reductase subunit C OS=Escherichia coli (strain K12) GN=ahpC PE=1 SV=2,14,1193.7,P0AE08,81725.2074926408,73678.0639315564,77833.8648720627,58487.4279964808,57032.413148671,59551.5544944443,71074.9158495467,72878.3282590767,64368.2842677766,50099.7661960407,58931.9797179628,56566.8219367556,57307.5613471776,52235.1447366694,60188.2534094763,74766.782060392,72658.0856654324,79093.5815874386,57080.3091016293,55529.4347774796,60119.1888248593,59181.6840847372,50165.3268547288,54777.9097444382,53008.058653526,51713.4933989357,52016.5579808159,51185.525710473,51146.1939380455,50103.7587300225,53779.4659099862,46597.6780363321,46847.8491711821,37888.7328171267,36229.2316916551,35524.934285988,6337.84099952673,6524.18287803855,7071.13007080584,5722.88560132292,5589.51571326328,7360.54338292588,60704.2164068196,56441.2276353626,57991.2645456743,77103.7987816064,52626.8112163689,73779.7176604022,87895.1514112937,82761.5967989941,85208.2700017894,75592.3936124743,68542.1130110821,77436.2359994491,67525.549115531,66271.0573176853,63472.877394025,59398.5439926356,60340.8246757787,57385.3807663448,43106.0865979739,44924.4788231691,40089.0726291524,50610.0318683273,50876.2551704791,50410.6746149498,63804.2176632299,64361.5646372115,69601.9820904924
sp|P06996|OMPC_ECOLI;sp|P76335|YEDS_ECOLI;sp|P77519|YDDL_ECOLI;sp|P77747|OMPN_ECOLI;tr|Q1PI90|Q1PI90_ECOLI,ompC,Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1,18,1285.11,P06996,78727.0857316434,73853.7581324127,73309.6576714981,33620.5351683404,31518.6314387449,35679.2423067289,22135.2478693648,22076.5006978187,20209.3612495089,36409.9090403761,50275.1093603599,42037.186026088,31350.382455203,27003.9075702416,34192.9302943515,15105.5060374634,16208.0239122705,16309.0424518284,28654.3199394563,26933.3882478221,25984.0879822697,47184.6391350703,35750.1366152586,42652.0580637997,13184.733120134,12310.184969574,16042.7394233842,14076.7613931615,13997.2602817962,13989.0313504545,19409.8324542266,17413.3030990947,18369.3748696841,23417.7477106029,23821.8320240945,22556.3825419747,22201.3302837165,25430.9475750472,26408.2411081787,22490.1651346813,25705.7455162087,25853.8518978413,33597.4493196315,31146.3087377126,32902.4710865648,48925.9116504187,41879.905666616,42507.5455594454,47475.6961965809,49900.8443452406,48131.6761241248,76198.6041041828,71525.1108722812,72556.1423816738,30884.3428341962,34044.4961979052,32797.0391218112,26888.6041801438,23583.9228864823,25130.5751710475,27178.4030518835,35583.9056848226,31858.9285041103,19288.2799439562,26711.2036867412,28959.9879265045,29957.3635467909,27292.37333378,33004.5795536478
sp|P0A6M8|EFG_ECOLI,fusA,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,49,4276.28,P0A6M8,76991.5837899482,94118.7939941484,86622.5025916291,39221.2151096695,38588.5395662062,39026.8158980825,60762.4561135603,62324.4765332358,58494.5908936696,21528.1664010768,19684.0026009355,21359.5419004814,28955.8661595488,28874.7350288829,30219.6399056646,32010.2268792997,31217.114102445,31263.4793150474,31224.6687675374,31735.6855574457,31037.658549359,32390.7779731575,28058.3588796415,28633.0600929349,24563.491865289,24574.1191043097,26388.8630990454,19959.4746849284,20780.3782397439,19277.8710140239,16626.9253904302,15215.898080113,15429.8386148198,13076.6475612813,12444.2477979797,12885.8958731374,13841.2732299139,13324.2370103295,12634.8126382537,12353.3155567392,12581.540834732,12393.6207953694,42119.7852212256,40865.2595608961,40435.6992691664,24711.7383482954,29680.7774414393,29538.9492697773,36571.1974013764,32092.7359617776,35282.596009459,29847.7044547967,29859.5764042554,31183.3686381058,34977.8584654632,34788.0496297546,36786.9276138617,26811.2876251199,27365.165111987,28192.2659920851,20501.1218115544,20557.4526015089,19826.050443993,34433.300157,32391.9592361907,32672.2689759716,38114.9697394516,36635.3009708215,38562.1375485292
sp|P0A7R5|RS10_ECOLI,rpsJ,30S ribosomal protein S10 OS=Escherichia coli (strain K12) GN=rpsJ PE=1 SV=1,10,541.09,P0A7R5,76246.0584511991,103703.08778593,108371.195075289,39144.3145451987,40963.546922991,39791.9864914336,68488.731204207,67671.4876352616,64380.3792303527,15281.3358478025,16540.4463162056,16171.8521790104,22910.7512618852,24437.6314588858,23085.9695390913,24457.3360960726,26555.0923829535,26326.5248778758,26891.783840506,28416.0092105049,29792.5207853447,22664.6001362422,21118.5413921136,22616.3816398933,15418.6800808372,15958.949993638,16293.1355401003,11246.0748729183,10558.9548846346,11359.3035250636,8436.62336824604,8269.78749540876,9536.3081844626,7300.00713653798,6744.1843354351,7689.32827535938,17529.5518052767,17992.407264851,16478.5581591717,18468.3128808178,19536.2992274018,16543.8723884593,46841.9505175938,40542.9489738693,39998.442851691,35402.4295947617,31581.815300891,32315.3019514392,37190.4932736289,42076.3811348043,35006.4188043065,33784.7656960364,34757.853126266,37557.02011816,33166.3837506702,34665.3387993607,36147.3988398222,23808.6255184291,23769.3295305173,22744.2145262107,15395.9633480884,16058.8245332062,12558.5138077435,25969.7291687376,21159.1630436866,24909.5203335207,31581.171440183,33466.6319237651,33502.0930000846
sp|P0A7J3|RL10_ECOLI,rplJ,50S ribosomal protein L10 OS=Escherichia coli (strain K12) GN=rplJ PE=1 SV=2,9,464.84,P0A7J3,70734.1519229511,98208.3516044382,87282.7380552289,33634.6489803996,34448.1455905131,35700.0445036643,67512.7458226063,56492.7407032284,58269.9306460373,14819.0223199098,13545.03935745,17420.6002004993,22058.7395441548,23022.7148100572,22663.4502204039,25317.8221004842,23841.7476285122,27921.9249652249,25152.9750679593,28260.2035909379,28974.0121324055,21733.5498106489,19564.7516511754,19193.5712787515,22631.0079772152,24049.6861664501,22560.3131581109,14955.7123278974,14445.9481648907,13828.8367855594,12848.0456077101,11277.2591640353,13471.757454694,9877.52716492754,9575.19467275583,10181.4271193952,17512.1421717445,16822.0915125121,17562.9449111298,16953.6199388033,18907.621861345,16718.8957268618,35857.221685748,31252.8384468476,32179.2685596566,35428.3321283481,33767.2557925106,30731.1079620989,33398.5303835883,37594.4116810282,29330.3163724792,34162.3537990093,33627.6142116532,39181.8376200786,31998.0888476268,31890.9695502518,33281.2570449484,22958.5364119913,19983.9453319914,18926.1537272639,16900.1641784276,15860.012016079,15531.4656262919,24937.8309397462,21145.0290527031,24014.199728942,32861.1879798167,29736.3932221108,34509.3429692964
