Uniprot Accession,glucose,lb,glycerolaa,acetate,fumarate,glucosamine,glycerol,pyruvate,chemostatµ05,chemostatµ035,chemostatµ020,chemostatµ012,stationaryphase1day,stationaryphase3days,osmoticstressglucose,42cglucose,ph6glucose,xylose,mannose,galactose,succinate,fructose,glucose_uncertainty,lb_uncertainty,glycerolaa_uncertainty,acetate_uncertainty,fumarate_uncertainty,glucosamine_uncertainty,glycerol_uncertainty,pyruvate_uncertainty,chemostatµ05_uncertainty,chemostatµ035_uncertainty,chemostatµ020_uncertainty,chemostatµ012_uncertainty,stationaryphase1day_uncertainty,stationaryphase3days_uncertainty,osmoticstressglucose_uncertainty,42cglucose_uncertainty,ph6glucose_uncertainty,xylose_uncertainty,mannose_uncertainty,galactose_uncertainty,succinate_uncertainty,fructose_uncertainty
P00968,7.840236102968966e-06,4.799104931199768e-07,8.828373834766969e-07,3.2974161085833465e-06,4.93237049516949e-06,4.259803943555946e-06,5.411545451008595e-06,3.7008595431632524e-06,5.586562872723254e-06,3.909329275144814e-06,3.3933087284975007e-06,2.9449321158873226e-06,3.794533167225452e-06,3.5910309759138556e-06,1.1265881311009956e-05,6.043080043491484e-06,4.971672332552344e-06,4.824354126753867e-06,4.832821270588673e-06,3.7966298135403924e-06,5.061707456165352e-06,6.253144256934281e-06,3.2850589271439965e-07,1.0606021897951488e-08,2.3995520082896626e-07,3.541424900618514e-07,2.7473303658094054e-07,1.312019614615231e-07,2.7057727255042976e-08,4.6260744289540655e-07,3.865901507924492e-07,1.2666226851469202e-07,3.36616225866952e-07,3.8578610718123935e-08,2.4360902933587394e-07,1.8565630145474635e-07,2.29711319931493e-06,5.650279840664536e-07,1.4517283211052848e-07,3.2902095144461366e-07,3.228324608753233e-07,6.040438033342765e-07,2.0297446899223055e-07,1.8384244115386785e-07
P09373,8.140087652463841e-06,8.15497538673946e-06,8.445157014976345e-06,1.229452703629656e-05,1.0728546778777297e-05,1.1811969821942833e-05,1.112478645836725e-05,1.31383519353121e-05,1.244686208042741e-05,1.2531560580869975e-05,1.3134922501934256e-05,1.285804290884734e-05,1.1136266069159185e-05,1.1361683881073568e-05,2.3728981667520744e-05,9.579836764355482e-06,1.4034545453205706e-05,1.0770859846072364e-05,1.3335323081938432e-05,1.3087606294556556e-05,1.289211258493975e-05,1.2902292778042481e-05,8.978516680667616e-07,2.2099983298063935e-07,1.0995594433499199e-06,1.7999187581138162e-06,7.982038803410312e-07,5.646121574888674e-07,6.897367604187695e-07,1.8603906340401933e-06,1.158802859687792e-06,5.714391624876709e-07,1.1282898429161528e-06,4.217438074101927e-07,5.234045052504817e-07,1.3100021514877828e-06,4.071893254146561e-06,9.60857627464855e-07,1.1648672726160737e-06,2.63886066228773e-07,1.4322136990001877e-06,1.408226437294285e-06,1.4387597644792763e-06,2.8385044111693454e-07
P0A6Y8,3.2816106343248056e-05,6.979136295323849e-05,5.0493066705927944e-05,3.087026150796589e-05,3.32289126241946e-05,3.334042242716723e-05,3.358307957131877e-05,2.6527168106084624e-05,2.8849010674742883e-05,2.7684646826225737e-05,2.5289662851633965e-05,2.53258889035037e-05,0.00010667271788259538,0.00010555815203479648,0.00010374228632770842,7.56183465247467e-05,5.836244099599015e-05,3.3138483110344664e-05,3.433826719035854e-05,2.5001090652746587e-05,3.8183175616780893e-05,3.171418765221879e-05,2.5924724011165965e-06,2.12165743377845e-06,1.28252389433057e-06,6.822327793260459e-07,1.2959275923435897e-06,1.1169041513101021e-06,1.1451830133819699e-06,2.2070603864262406e-06,8.683552213097607e-07,2.934572563579929e-07,1.160795524889999e-06,1.1548605339997683e-06,4.949614109752425e-06,6.945726403889609e-06,1.1463522639211777e-05,6.07215322593716e-06,5.182584760443926e-06,1.994936683242749e-06,3.2277971158937023e-07,1.325057804595569e-06,1.3707760046424343e-06,1.0148540048710015e-07
P0A705,5.374398066534632e-06,7.9261129617966e-06,5.722094152163776e-06,4.164240158263776e-06,4.993507434533845e-06,5.118265330744733e-06,5.364109042777455e-06,5.3278752167141785e-06,7.117281099849426e-06,6.0737577099153275e-06,5.6041372684270295e-06,5.349388776307413e-06,3.756963531906388e-06,4.417562952933262e-06,1.1421169136995418e-05,6.739000805106358e-06,4.6588057449123585e-06,5.497645082292645e-06,5.284415876949137e-06,4.152493025914029e-06,4.9432708797073205e-06,5.9806797845753045e-06,1.0066247578619364e-06,3.7014947531590127e-07,7.804936423551392e-07,5.026237871024379e-07,1.1335261876391832e-07,9.673521475107548e-08,2.5533159043620677e-07,1.0431979674326362e-06,5.715176723179088e-07,2.605642057553676e-07,4.819558050847245e-07,1.6690092982079126e-07,3.396295032843375e-07,4.899077314802986e-07,1.8936298429138406e-06,7.837457936338696e-07,1.9240867726488034e-07,8.356420525084822e-08,5.125883400640662e-07,6.477889120425884e-07,5.833059638054639e-07,4.0848042928649326e-07
P05793,5.880265268858929e-05,3.995751113032995e-06,2.712599604934325e-06,3.398472982716944e-05,3.935246735730188e-05,4.01278120140719e-05,5.514956820952484e-05,2.821028776837869e-05,5.001277302424282e-05,3.723568300511665e-05,2.789545422440493e-05,1.7922693396420792e-05,5.906259752451167e-05,5.38905110622539e-05,0.0002087118474091729,5.719157505416155e-05,3.38066879999622e-05,5.2687261574094604e-05,4.52600258214965e-05,3.0771967969327983e-05,4.810078270772551e-05,6.0568344507625966e-05,5.997870574236105e-06,1.3305851206399874e-07,1.7442015459727705e-07,2.0390837896301667e-06,2.990787519154942e-07,1.625176386569912e-06,7.224593435447752e-07,2.1665501006114836e-06,6.916766509252781e-06,8.936563921227998e-07,1.590040890791081e-06,3.244007504752164e-07,3.496505773451091e-06,3.2657649703725847e-06,4.981951797656958e-05,3.7231715360259157e-06,1.1933760863986653e-06,3.825095190279269e-06,1.190338679105358e-06,3.3079865567027585e-06,1.2313800373177732e-06,2.1320057266684342e-06
P00864,6.408003995969911e-06,1.4981147510290273e-06,1.946165965353075e-06,2.9380543794444743e-06,2.863575353453058e-06,6.284549175255113e-06,4.145942079401746e-06,3.0777045253377133e-06,7.985060532745771e-06,5.99235683339069e-06,5.12729189706968e-06,4.410807009739922e-06,4.1201366733240054e-06,5.0969471916196665e-06,1.5123030537100515e-05,6.167471677210084e-06,9.64928426579279e-06,6.418707109469696e-06,5.0225669035132375e-06,3.7694300775627895e-06,2.8716015833020927e-06,8.674862641690157e-06,4.229282637340142e-07,9.827632766750419e-08,2.9737415950594974e-07,6.002445097205062e-07,1.1511572920881292e-07,2.771486186287506e-07,4.7678333913120085e-07,9.380843393229352e-07,1.0284757966176554e-06,1.1445401551776217e-07,4.245397690773695e-07,1.3408853309609362e-07,5.838233666100115e-07,4.6229311027990384e-07,3.1516395639317473e-06,1.4302366819450188e-06,6.339579762625864e-07,4.512351097957196e-07,6.524314407663696e-07,7.636865337142213e-07,4.0977754593720855e-07,1.6829233524878902e-06
P00957,3.4359459906824622e-06,3.8019186510915935e-06,3.2370704060812227e-06,2.4676172067535873e-06,2.977960594844434e-06,3.1852932540234316e-06,3.2446503230100627e-06,3.69885582927957e-06,3.2141358394401123e-06,3.005570825525111e-06,2.873113777925847e-06,2.7366513306097056e-06,3.396921193432026e-06,3.58163856708409e-06,8.5859139915834e-06,4.999198901069171e-06,3.848429993320263e-06,4.289312247419051e-06,3.373677353398767e-06,2.867305500972296e-06,3.5356230447553143e-06,4.422047616608736e-06,2.181825704083364e-07,9.200643135641653e-08,3.191751420396085e-07,2.0530575160189846e-07,8.755204148842635e-08,3.150255028229174e-07,7.23557022031244e-08,3.277186264741699e-07,3.1627096660090706e-07,1.484751987809405e-07,1.9537173689895763e-07,7.142659972891333e-08,1.30781465947133e-07,1.1998489199731703e-07,1.2337958405905343e-06,8.86857885049671e-07,2.262876836072315e-07,1.1195104965763717e-07,2.418926662386916e-07,4.005625784858298e-07,8.945126303230948e-08,3.0777451411596794e-07
P0A6M8,6.883709660080311e-05,0.00010114668283584368,7.947105939972009e-05,4.6521009299432146e-05,5.710584568497711e-05,5.9773003001521325e-05,5.924807388069544e-05,5.7372339631507e-05,4.576139867810041e-05,4.1658463962955335e-05,3.716022262648434e-05,3.397349619097945e-05,4.171481841593393e-05,3.8803171678706476e-05,0.0001479692610253104,5.930959476342419e-05,5.1050253043333216e-05,6.280098944756112e-05,5.192389244980723e-05,4.646848227306961e-05,6.343540698420958e-05,6.450300226063603e-05,6.87682595042023e-06,8.395174675375026e-07,2.5271796889110993e-06,2.274877354742232e-06,1.4676202341039113e-06,8.427993423214507e-07,6.813528496279975e-07,4.543889298815354e-06,1.9082503248767877e-06,1.5663582450071204e-06,1.7948387528591935e-06,8.595294536317802e-07,1.9021957197665868e-06,3.8027108245132346e-07,1.4959692289658881e-05,3.94408805176771e-06,1.2915714019963305e-06,1.9531107718191505e-06,1.3136744789801226e-06,9.340164936886988e-07,2.1187425932725997e-06,1.7222301603589818e-06
P00961,5.139808324870993e-06,7.587489986115839e-06,5.406888508581725e-06,4.266603802321517e-06,4.958008566515832e-06,4.8429458658111345e-06,5.09087533136608e-06,5.396001488759415e-06,4.990662832966107e-06,4.529228257909369e-06,4.0844936859700224e-06,4.273710796645793e-06,3.9729889349910055e-06,4.799520912010411e-06,1.3424883020678828e-05,6.122085540583027e-06,4.653676784459244e-06,5.932142178933671e-06,5.299595527583102e-06,4.4902230809692646e-06,4.752995724086221e-06,5.53729039477374e-06,2.6367216706588196e-07,7.283990386671204e-08,2.2114174000099264e-07,3.6010136091593597e-07,1.8047151182117632e-07,1.142935224331428e-07,9.367210609713587e-08,2.374240655054143e-07,1.9513491676897478e-07,1.9838019769643034e-07,5.126039575892378e-07,2.1197605551363136e-07,3.655149820191725e-07,2.2509753077328826e-07,1.6700554477724462e-06,2.552909670423123e-07,1.0796530139945446e-07,1.850828359827305e-07,4.960421413817783e-07,3.0353908027352216e-07,2.2956969347336453e-07,1.240353048429318e-07
P76558,8.272375100770404e-07,2.887636616753534e-06,2.211671134013474e-06,3.275636609847657e-06,2.642693508007643e-06,2.50846623606167e-06,2.151715477364568e-06,2.5186683517900427e-06,5.2681287889780285e-06,6.324221945375754e-06,6.887766475161712e-06,7.3662849881729475e-06,1.637409939322534e-06,1.8033424953150664e-06,2.7350694512278507e-06,1.309474090091757e-06,9.283418420137289e-07,1.7397838291122056e-06,3.0264428451468127e-06,2.234911639493031e-06,2.825003586007129e-06,2.106945764515069e-06,2.5751903688698266e-07,1.6257394152322399e-07,3.9500446453480636e-07,3.115130415965123e-07,1.4719802839602572e-07,2.1347047668884809e-07,1.762254975961581e-07,8.173078801558689e-07,6.701059819580054e-07,1.9035908055581017e-07,5.413784449477106e-07,7.366284988172947e-08,2.4266415300759953e-07,1.6698951506617517e-07,6.479379529958779e-07,3.1938073057337946e-07,5.3101153363185274e-08,1.5658054462009848e-07,4.373209911237144e-07,3.8284036384515613e-07,3.195079055774064e-07,1.308413319763858e-07
P0AG67,4.197392543135039e-05,7.578148662648783e-05,4.386851656176577e-05,2.3367224193520955e-05,3.349909845299838e-05,3.0990647271588114e-05,3.871190402926977e-05,2.895967676087628e-05,3.3973751016654344e-05,2.5280190165805654e-05,2.4010850264811977e-05,2.283706534271799e-05,2.7901715830291445e-05,2.5863563114232225e-05,7.677730673803895e-05,4.0803817795747505e-05,3.011725578068848e-05,3.648339257746132e-05,3.2985380827606385e-05,2.5581351686935444e-05,3.4731040650512385e-05,4.2822614960071734e-05,5.55734772711079e-06,9.700030288190444e-07,2.430315817521823e-06,4.6267103903171483e-07,5.359855752479741e-07,2.4172704871838735e-07,1.3433030698156609e-06,2.143016080304845e-07,9.61457153771318e-07,1.0162636446653871e-06,2.3530633259515745e-07,7.970135804608579e-07,4.520077964507215e-07,1.7819994985706003e-06,1.3988825287670696e-05,2.848106482143176e-06,1.7889649933728956e-06,4.472863929996758e-06,1.5437158227319787e-06,6.113943053177573e-07,1.1565436536620627e-06,1.9569935036752783e-06
P07813,3.2560350609855368e-06,3.1433553466641796e-06,3.1115113115423148e-06,2.6178957480298433e-06,2.9404895674920868e-06,2.789521523181384e-06,2.855671775514704e-06,2.626868901508947e-06,3.0204683265190396e-06,2.8573794862110254e-06,2.868297158013146e-06,2.818381765338898e-06,2.7832838165539827e-06,2.8396382695325784e-06,6.707432225630207e-06,3.538437688887225e-06,3.0500218161187696e-06,3.023525251006145e-06,2.6014126273957867e-06,2.4933091312802575e-06,2.858010500757728e-06,3.0411096697458466e-06,3.3276678323272194e-07,1.0624541071724929e-07,2.0473744429948429e-07,9.398245735427135e-08,6.821935796581642e-08,1.1743885612593625e-07,7.82454066491029e-08,1.0087176581794353e-07,1.4830499483208484e-07,1.5201258866642658e-07,2.785116540430766e-07,8.680615837243805e-08,2.861215763417494e-07,2.033181000985326e-07,1.1617272614791514e-06,2.618443889776546e-08,2.5101679546657476e-07,5.593521714361367e-08,2.8147284628422423e-07,2.625454515238111e-07,1.57190577541675e-07,5.109064245173022e-08
P00561,1.0059137569231048e-05,2.5221573361049885e-06,2.313687898326336e-06,4.591118333483285e-06,6.750701401425494e-06,9.970770900199395e-06,8.878198164540399e-06,2.039981104978077e-05,1.4782045361225732e-05,6.835586426107456e-06,4.924993860736259e-06,3.8597856917269836e-06,8.049294367109436e-06,8.759986635228396e-06,3.2144579978991065e-05,7.584527720788198e-06,9.032099357934673e-06,1.6703002025006033e-05,8.326038372729915e-06,4.698754390130886e-06,7.407139986678487e-06,1.631571414914842e-05,4.3757248426155057e-07,1.1274043292389294e-07,2.0591822295104398e-07,7.882950178590803e-07,6.588684567791283e-07,1.236375591624725e-07,9.073518524160289e-07,5.4508295125014205e-06,2.9460616404922886e-06,1.4286375630564585e-07,4.2354947202331823e-07,1.8874352032544956e-07,5.811590533053013e-07,8.724946688687482e-07,6.985017229434757e-06,8.926989127367709e-07,3.3780051598675684e-07,1.723749808980623e-06,1.1414998609012711e-06,6.484281058380624e-07,5.599797829928935e-07,3.005354546273139e-06
P0AFG3,3.0090984908132854e-06,7.104076496695715e-06,5.842421617763564e-06,9.136499719621623e-06,5.196639845970253e-06,6.3591148636746305e-06,5.2217998180840304e-06,8.407583455935576e-06,6.778362952237549e-06,5.879647927433499e-06,5.594504028601629e-06,5.665764652678477e-06,3.900980467296133e-06,3.212203819779962e-06,8.92153606710037e-06,3.281249581333902e-06,4.103168362491619e-06,5.754393366671434e-06,5.734113026980356e-06,3.694630803624382e-06,6.636331448090976e-06,5.855447666845091e-06,3.737300325590101e-07,2.3372411674128904e-07,5.959270050118835e-07,1.5331046529525086e-06,2.483993846373781e-07,5.271706221986269e-07,3.2061850883035943e-07,1.2535706932799944e-06,8.84576365267e-07,1.9814413515450886e-07,4.5874933034533343e-07,1.0538322253981967e-07,3.2261108464539015e-07,1.326640177569124e-07,7.208601142217099e-07,4.190155715363393e-07,4.739159458677819e-07,1.8298970906015162e-07,6.353397233894235e-07,6.255009950536079e-07,1.9444451142906556e-07,3.050688234426293e-07
P00956,3.820461507093538e-06,3.3698824407402754e-06,3.0735820017336855e-06,2.9358764295709054e-06,3.2678680169915407e-06,3.0992559212316824e-06,3.44198578125161e-06,3.849134370555825e-06,3.0670230171250665e-06,2.8448562744380038e-06,2.5865248931201674e-06,2.3306356226001737e-06,2.9022543283976854e-06,3.002440022581855e-06,1.044936790340897e-05,4.958855668511787e-06,3.460338652367932e-06,4.406016013045771e-06,3.083366535024182e-06,3.075836810133918e-06,3.0463440731582034e-06,3.420190674767032e-06,1.5778506024296313e-07,1.786037693592346e-08,1.1833290706674688e-07,5.4607301590018846e-08,1.1829682221509378e-07,1.041349989533845e-07,5.5760169656276094e-08,3.279462483713563e-07,7.728898003155168e-08,1.3000993174181682e-07,1.7200390539249112e-07,1.1000600138672818e-07,1.5352925397223756e-07,2.3238885774783556e-07,3.5736838229658666e-07,4.458011245992097e-07,2.0139170956781363e-07,9.032332826743831e-08,1.2703470124299634e-07,1.8424262492702169e-07,1.8674089168459783e-07,1.3441349351834437e-07
P25553,6.17517808695036e-06,1.3111715151445794e-05,1.4236570250583477e-05,3.749776297323611e-05,5.6827771218836e-05,3.2816550667501905e-05,3.113346345026263e-05,5.480758586039224e-05,3.548584736753811e-05,6.472830725082273e-05,8.602723995078725e-05,9.6639647903178e-05,5.842078292114433e-06,5.848339898000944e-06,9.041758900121375e-06,2.8391549912259017e-06,3.186794094868491e-06,1.0761882633331847e-05,5.798816287807632e-05,6.487590359591232e-05,5.253341720040887e-05,1.6055095958196356e-05,1.922950456276342e-06,4.943116612095062e-07,1.1090288225204527e-06,6.749597335182502e-07,3.7335845690775255e-06,2.900983079007169e-06,4.6077525906388707e-07,1.5839392313653356e-06,1.8772013257427662e-06,1.8641752488236947e-06,6.5036593402795145e-06,1.3626190354348102e-06,3.703877637200551e-07,6.415628868107037e-07,1.1392616214152933e-06,1.6325141199548936e-07,4.493379673764571e-08,1.810148658926417e-06,2.470295738606051e-06,4.1520578301383875e-06,8.326546626264804e-06,8.172043842721945e-07
